image_id,accuracy,f1,jaccard,recall,precision
ISIC_0014131,0.9979400634765625,0.9335302806499262,0.8753462603878116,0.9159420289855073,0.9518072289156626
ISIC_0013803,0.99615478515625,0.8388746803069054,0.7224669603524229,1.0,0.7224669603524229
ISIC_0000057,0.99267578125,0.9814914783681653,0.963655637162111,0.99437456051254,0.9689379520365435
ISIC_0013204,0.9878387451171875,0.8494806421152029,0.7383453709783322,1.0,0.7383453709783322
ISIC_0012888,0.994476318359375,0.9451348893604122,0.8959770114942529,0.9993589743589744,0.8964922369177688
ISIC_0014851,0.8619537353515625,0.7139831178274478,0.5551895373420522,1.0,0.5551895373420522
ISIC_0010034,0.9833831787109375,0.9766263870704643,0.9543204697986577,0.9630868221648393,0.9905520724486242
ISIC_0010606,0.992645263671875,0.9800496688741723,0.9608797987176365,0.9756881490028021,0.984450357558623
ISIC_0014834,0.944610595703125,0.8760838396941353,0.7794921637711092,1.0,0.7794921637711092
ISIC_0010233,0.969696044921875,0.9566148199930095,0.9168376533645994,1.0,0.9168376533645994
ISIC_0014546,0.8568115234375,0.8849943624687484,0.7937129039349308,0.9468439409435397,0.8307295860847157
ISIC_0000409,0.9951171875,0.9730367374452309,0.9474893337709223,0.9895458440445587,0.9570694513509034
ISIC_0001423,0.9741973876953125,0.7898595749968933,0.6527007599096324,0.6527007599096324,1.0
ISIC_0010849,0.926116943359375,0.880521146918028,0.7865455827896315,0.809417955813637,0.9653194827679489
ISIC_0013558,0.9806671142578125,0.7590796729416238,0.6117070180815201,0.9384109073812882,0.6372924648786717
ISIC_0009980,0.963531494140625,0.9793851780292576,0.9596031303348377,0.9877344375239222,0.9711758869615793
ISIC_0014713,0.95758056640625,0.9156502214940228,0.8444233029268565,0.9530697321879738,0.8810580404063997
ISIC_0013663,0.8810882568359375,0.7569472600817141,0.6089421918908069,0.9972879684418146,0.6099522493088716
ISIC_0011109,0.8640289306640625,0.8994550193507622,0.8172814697861346,0.9831771090281204,0.8288726682887266
ISIC_0000214,0.8994598388671875,0.8307866149618633,0.7105517483746266,0.9990117966771663,0.7110515210128363
ISIC_0012676,0.9947662353515625,0.85002186270223,0.7391634980988593,1.0,0.7391634980988593
ISIC_0012263,0.9924163818359375,0.8985921240563151,0.8158577250833642,0.8581449727201871,0.9430406852248394
ISIC_0010854,0.975067138671875,0.8854779927109616,0.7944912589611369,0.7944912589611369,1.0
ISIC_0014925,0.9878082275390625,0.9458488647915961,0.8972611546868973,0.9985689753863767,0.8984163769795288
ISIC_0000253,0.994415283203125,0.9718158016325275,0.945176752546435,0.9813374805598756,0.962477120195241
ISIC_0012789,0.99267578125,0.7604790419161677,0.6135265700483091,0.9934810951760105,0.6160064672594988
ISIC_0016050,0.9961090087890625,0.892992026856903,0.8066717210007581,1.0,0.8066717210007581
ISIC_0014661,0.98321533203125,0.9517077882167003,0.9078649803166094,0.9999077490774908,0.9079410286480147
ISIC_0015966,0.963226318359375,0.65970064953403,0.4922039612305099,0.49366018596787825,0.9940425531914894
ISIC_0015002,0.8607177734375,0.8743599625612508,0.7767669356810957,0.9997796594164122,0.7768999339578798
ISIC_0012792,0.983306884765625,0.9003098232185165,0.8186940669539278,0.8305312710154674,0.9828889773179467
ISIC_0009927,0.975616455078125,0.9140860215053763,0.8417665115357956,0.8472194538568866,0.9924118608452019
ISIC_0011104,0.96240234375,0.9550823975499488,0.914026517794836,0.9290350037238004,0.9826325068457181
ISIC_0014299,0.884063720703125,0.13874404896848788,0.07454323995127893,1.0,0.07454323995127893
ISIC_0013187,0.9781036376953125,0.9011367550809507,0.8200626959247649,1.0,0.8200626959247649
ISIC_0015129,0.979888916015625,0.9478680484138913,0.9009022556390978,1.0,0.9009022556390978
ISIC_0010102,0.8004608154296875,0.7334108005626567,0.5790439401255432,0.9666290504594551,0.5908553409538826
ISIC_0012654,0.9859619140625,0.7445863409217102,0.5931003980539584,1.0,0.5931003980539584
ISIC_0000355,0.9703216552734375,0.9620035554513664,0.9267888734143863,0.9667818438825192,0.957272267796742
ISIC_0012282,0.9756317138671875,0.8156102066735943,0.6886332618444141,1.0,0.6886332618444141
ISIC_0014596,0.97637939453125,0.6046986721144024,0.4333821376281113,1.0,0.4333821376281113
ISIC_0015291,0.967071533203125,0.9082170806396734,0.8318659914296844,0.8319308087891538,0.9999063495036523
ISIC_0000092,0.993133544921875,0.9621594349142281,0.9270782693242586,0.9998252359314925,0.927228525121556
ISIC_0010857,0.9481964111328125,0.9686417586477624,0.9391903994268315,0.9461556505891481,0.9922226847821973
ISIC_0009430,0.9925689697265625,0.9497368149447826,0.9042845911949685,0.9119920713577799,0.9907407407407407
ISIC_0001140,0.98663330078125,0.9768253968253969,0.9547005895128762,0.9597629444791017,0.9945054945054945
ISIC_0010212,0.8833770751953125,0.8513700095288101,0.7412047540039955,1.0,0.7412047540039955
ISIC_0012358,0.940155029296875,0.7016582991023886,0.540426529177408,0.998052369616966,0.5409970674486804
ISIC_0015476,0.9799346923828125,0.9523775033498715,0.9090846238938053,0.9459712230215828,0.9588711441697659
ISIC_0014001,0.976593017578125,0.8952615048477399,0.8103831891223733,0.848343685300207,0.9476727377854871
ISIC_0009956,0.990081787109375,0.9813892229284774,0.9634585113559703,0.9684127253206758,0.9947182076731093
ISIC_0012495,0.994964599609375,0.907769703745109,0.8311156601842374,0.9902439024390244,0.8379772961816305
ISIC_0013806,0.9966888427734375,0.9310892346776755,0.8710635769459298,0.9932249322493225,0.8762701733413031
ISIC_0012511,0.991302490234375,0.9236743438671665,0.8581736750435431,0.9991309385863267,0.8588147410358565
ISIC_0012706,0.9494476318359375,0.5505358838692173,0.37982029202545864,0.37982029202545864,1.0
ISIC_0013044,0.996978759765625,0.9239631336405529,0.8586723768736617,0.9958609271523179,0.8617478510028653
ISIC_0015975,0.9963226318359375,0.9591456179013392,0.9214983713355049,0.9284542172628816,0.9919354838709677
ISIC_0015233,0.9619903564453125,0.9243845429985126,0.8594005757182367,0.9319948582971169,0.9168975069252078
ISIC_0013271,0.9971466064453125,0.9612916580418133,0.9254683140693504,0.9805743243243243,0.9427527405602923
ISIC_0011322,0.9465789794921875,0.9297199638663053,0.8686698176907495,0.8723348150380472,0.9951867291245864
ISIC_0012332,0.9942169189453125,0.9601848933711524,0.9234188724994948,0.9840654608096469,0.9374358974358974
ISIC_0001190,0.99261474609375,0.8817782120175868,0.7885539536915683,0.9223300970873787,0.844642021525503
ISIC_0011114,0.9498748779296875,0.8640258288836459,0.7606034105815479,0.9865771812080537,0.7685567010309279
ISIC_0000239,0.97174072265625,0.9645346610494064,0.9314987424175174,0.931602115932379,0.9998808909358002
ISIC_0015043,0.9637298583984375,0.9436476138545792,0.8933075990843395,0.905789186237029,0.9848087485773666
ISIC_0010264,0.940582275390625,0.9461529951877868,0.8978086865240782,0.9368513295177588,0.9556412190284644
ISIC_0003728,0.970458984375,0.7719132893496702,0.6285495011511896,0.9876394332227917,0.6335331657319667
ISIC_0010046,0.9779205322265625,0.9150871427733114,0.8434660320207702,0.8984789121917492,0.932320937462633
ISIC_0013499,0.9753265380859375,0.8496233609225333,0.7385610347615198,1.0,0.7385610347615198
ISIC_0010599,0.9573516845703125,0.9425074565463334,0.8912662906049407,0.9982135854646856,0.8926901496259352
ISIC_0000208,0.8770904541015625,0.92087193139287,0.8533481411353457,0.9908883345313094,0.8600972566290486
ISIC_0015260,0.980072021484375,0.9525229024283846,0.9093496217116679,0.9940060698027314,0.9143634840871022
ISIC_0014651,0.9901885986328125,0.9044718466795424,0.8256034716571738,1.0,0.8256034716571738
ISIC_0016012,0.9842987060546875,0.7762557077625571,0.6343283582089553,0.9994400895856663,0.6345538570920726
ISIC_0012250,0.9969329833984375,0.9542870138730953,0.9125706829056112,0.9952561669829222,0.9165574486675404
ISIC_0014846,0.9631805419921875,0.9673773439506806,0.93681592039801,0.9987995533221664,0.9378719165334102
ISIC_0014476,0.9582061767578125,0.6457120682964688,0.47679083094555874,1.0,0.47679083094555874
ISIC_0011343,0.97918701171875,0.9178511202119971,0.8481745325022262,0.8486468426328099,0.999344262295082
ISIC_0011107,0.8703155517578125,0.8784971908104476,0.7833214358555987,0.7833214358555987,1.0
ISIC_0015211,0.8672332763671875,0.8387001093747104,0.7222080326926761,0.722415610129978,0.9996022978347326
ISIC_0011167,0.8962860107421875,0.9310278344343309,0.870956105710814,0.8906729313089737,0.9752131119661572
ISIC_0012768,0.82208251953125,0.6746651785714286,0.5090526315789474,0.9690605963449823,0.5174627632254751
ISIC_0014518,0.4967041015625,0.3600558767607,0.2195537467761399,1.0,0.2195537467761399
ISIC_0010380,0.940460205078125,0.8073847368940665,0.6769867549668874,0.9948905109489051,0.679348729024755
ISIC_0000477,0.933135986328125,0.9074981001435447,0.8306604320438999,0.8865014228564359,0.9295135135135135
ISIC_0010066,0.9814605712890625,0.9686718407549699,0.9392469623481174,0.9884234897916229,0.9496941200262905
ISIC_0009975,0.960693359375,0.9011132437619963,0.8200237546286593,0.8202529876301629,0.9996593135167362
ISIC_0000228,0.9326019287109375,0.9195988131860131,0.8511642012332783,0.9998416719442685,0.851278940450915
ISIC_0014969,0.955596923828125,0.9227829963381626,0.8566361217853976,0.8615171183669424,0.9934296977660972
ISIC_0014233,0.81842041015625,0.6652601969057664,0.49841938883034775,0.8612527312454479,0.5419340054995417
ISIC_0013523,0.9841461181640625,0.8031824209130517,0.6710984488762266,1.0,0.6710984488762266
ISIC_0000543,0.91986083984375,0.877123204342333,0.7811393090803017,1.0,0.7811393090803017
ISIC_0000528,0.929962158203125,0.7920065252854812,0.6556380823767725,0.9997711932273196,0.6557364748255421
ISIC_0010591,0.8039093017578125,0.7143015940063583,0.5555747682943699,0.9744631808807473,0.5637831198455869
ISIC_0012156,0.995880126953125,0.9001479289940828,0.8184263618022865,0.9975409836065574,0.8200808625336927
ISIC_0013126,0.9980621337890625,0.9486868686868687,0.9023827824750192,0.9848993288590604,0.9150428682774747
ISIC_0000470,0.983612060546875,0.9503513313609467,0.9053994538888399,0.9125532670454546,0.9914158950617284
ISIC_0012216,0.920654296875,0.8086969317930984,0.6788339200790563,0.8088159540805063,0.808577944530273
ISIC_0013374,0.9289703369140625,0.9337753055156421,0.8757772262695808,0.9014943412811779,0.9684539794021306
ISIC_0010604,0.6460113525390625,0.7643790816481987,0.6186194085058113,0.6187516443041305,0.9996546502669819
ISIC_0012245,0.8582305908203125,0.7164352205096903,0.5581605478409739,0.9933982225983918,0.5602386634844869
ISIC_0000451,0.9883270263671875,0.9629522010751126,0.9285514149621743,0.9350136367911219,0.992611821086262
ISIC_0014961,0.92828369140625,0.9385009944520046,0.8841280015778314,0.9603663435273955,0.9176091295225424
ISIC_0011163,0.9876861572265625,0.9466587348800318,0.8987198795180723,0.9042808435408511,0.9932038834951457
ISIC_0015179,0.901214599609375,0.8259022212660679,0.7034356390288594,0.9963018231363135,0.7052771781564323
ISIC_0012512,0.9701080322265625,0.865996306176893,0.7636626854867897,0.9979504966104367,0.7648622522957951
ISIC_0011205,0.9942169189453125,0.9701973735944012,0.9421197312156384,0.9816995544239338,0.9589616042281983
ISIC_0012167,0.9720916748046875,0.6140535978054442,0.44305724725943973,0.44305724725943973,1.0
ISIC_0010075,0.838531494140625,0.8518383691299599,0.7419150285351934,0.743892597755117,0.9964296242916572
ISIC_0013501,0.989471435546875,0.9221570397111912,0.8555578815155955,0.9438799076212471,0.9014115571239524
ISIC_0009950,0.9537353515625,0.9001251729362936,0.8183887391434561,0.8192720513281765,0.9986843067027265
ISIC_0000433,0.872406005859375,0.874973834514518,0.777736430811759,0.777736430811759,1.0
ISIC_0006021,0.9868011474609375,0.8969133595519008,0.8130942091616249,0.8579571363429093,0.9395755305867666
ISIC_0013118,0.993804931640625,0.90917225950783,0.8334700574241182,0.9980353634577603,0.8348397699260477
ISIC_0000510,0.9708709716796875,0.9486261740089884,0.9022729599672367,0.90533182658722,0.9962692894692217
ISIC_0009948,0.95098876953125,0.9487179487179488,0.9024390243902439,0.9054918932098013,0.9962779156327544
ISIC_0000326,0.9843597412109375,0.9502161348292777,0.90515406680855,0.9798657718120806,0.9223081274750141
ISIC_0014099,0.9034881591796875,0.7523007636577248,0.6029504080351538,0.9951305428926648,0.6047346219228106
ISIC_0000077,0.8458251953125,0.8330469266358228,0.7138649750792931,0.9299442948315934,0.7544368958189926
ISIC_0016026,0.99346923828125,0.8610389610389609,0.7559863169897377,0.9902912621359223,0.7616312464101092
ISIC_0000384,0.9920654296875,0.9365698950963649,0.8807065840789172,0.8886574074074074,0.9899432697266632
ISIC_0015983,0.8220977783203125,0.7343283582089551,0.5801886792452831,0.9990699404761905,0.5805022156573116
ISIC_0000097,0.921783447265625,0.861136696104459,0.7561370123691722,1.0,0.7561370123691722
ISIC_0000315,0.9915618896484375,0.9745969038541046,0.9504524684168085,0.9814043852345268,0.9678832116788321
ISIC_0009758,0.973968505859375,0.9045861297539151,0.8257939344429694,0.9996291718170581,0.8260469867211441
ISIC_0000136,0.977996826171875,0.9784724710378598,0.9578522783737176,0.9747181820885756,0.9822557923448131
ISIC_0010073,0.956634521484375,0.9237865379458299,0.8583673876208512,0.9039571743465938,0.9445053739855231
ISIC_0000219,0.859954833984375,0.8404436563401828,0.7247976011994003,0.9927307076265965,0.7286648780634853
ISIC_0013395,0.99407958984375,0.9137777777777778,0.8412438625204582,1.0,0.8412438625204582
