image_id,accuracy,f1,jaccard,recall,precision
ISIC_0013390,0.9929656982421875,0.9426545590247543,0.8915294117647059,0.9960567823343849,0.8946871310507674
ISIC_0010062,0.7989349365234375,0.8438133393388411,0.7298244894611663,0.7298244894611663,1.0
ISIC_0015050,0.8717498779296875,0.8928384736016728,0.8064211520302171,0.8312126103883771,0.9643339117023327
ISIC_0000246,0.60540771484375,0.32257557499869016,0.19230408845300934,0.19230408845300934,1.0
ISIC_0013789,0.9973297119140625,0.904735982580294,0.8260437375745527,0.9400452488687783,0.8719832109129066
ISIC_0009937,0.9664764404296875,0.7064796259185037,0.5461681470770502,0.5461681470770502,1.0
ISIC_0009888,0.9643402099609375,0.8003417343015805,0.6671414328443241,0.6671414328443241,1.0
ISIC_0000068,0.9903717041015625,0.9865208382286971,0.9734002192058006,0.9740982914996836,0.9992643240436213
ISIC_0015232,0.8007049560546875,0.5952211237487216,0.42371161313095657,0.42371161313095657,1.0
ISIC_0015208,0.97967529296875,0.9718678719270084,0.9452752670501232,0.9484315099550682,0.9964918359391918
ISIC_0013023,0.995086669921875,0.9201388888888888,0.8520900321543409,0.8587962962962963,0.9909188034188035
ISIC_0009564,0.991851806640625,0.8484676503972759,0.7368161655988171,0.7368161655988171,1.0
ISIC_0014037,0.5138702392578125,0.2908087171382143,0.17014404417702064,0.32837321536296,0.26095641404658226
ISIC_0000119,0.9858551025390625,0.9574360622618118,0.9183475733286356,0.9441275015847143,0.9711251862891207
ISIC_0010496,0.9645538330078125,0.948404148990516,0.9018713302074093,0.9054667288689088,0.9956164894609215
ISIC_0014973,0.8639373779296875,0.8879759795977337,0.798522301052917,0.798522301052917,1.0
ISIC_0000161,0.940673828125,0.9355352168722642,0.8788785046728972,0.8801397641480002,0.9983721424021516
ISIC_0002829,0.9915008544921875,0.9474081767538476,0.9000717617509867,0.9049422799422799,0.9940558747770953
ISIC_0012378,0.9925689697265625,0.7650747708634829,0.61953125,0.61953125,1.0
ISIC_0013090,0.9983367919921875,0.9486575600565238,0.9023297491039427,0.9154545454545454,0.9843597262952102
ISIC_0010232,0.4894256591796875,0.45301031500825534,0.29283344252594207,0.29283344252594207,1.0
ISIC_0014797,0.9869537353515625,0.8601798855273917,0.7546628407460545,1.0,0.7546628407460545
ISIC_0009910,0.8651580810546875,0.7942155881051627,0.658671301660873,0.658671301660873,1.0
ISIC_0015964,0.9946746826171875,0.8984579575210939,0.8156365557316428,0.8156365557316428,1.0
